STATION,NAME,DATE,AWND,PRCP,TAVG
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",05/10/2017,11.86,0,58
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",06/10/2017,5.82,0,61
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",07/10/2017,7.16,0,64
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",08/10/2017,6.26,0,64
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",09/10/2017,13.42,0.28,66
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",10/10/2017,9.4,0,61
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",11/10/2017,9.62,0,58
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",12/10/2017,8.5,0,62
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",13/10/2017,9.4,0,66
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",14/10/2017,11.63,0,65
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",15/10/2017,11.18,0,59
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",16/10/2017,12.3,0,60
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",17/10/2017,13.87,0,54
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",18/10/2017,13.2,0,45
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",19/10/2017,10.96,0,43
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",20/10/2017,15.66,0,56
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",21/10/2017,6.04,0,61
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",22/10/2017,9.4,0,61
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",23/10/2017,14.54,0,60
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",24/10/2017,9.4,0,49
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",25/10/2017,14.54,0.02,61
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",26/10/2017,6.71,0,53
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",27/10/2017,7.83,0,51
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",28/10/2017,19.69,1.79,57
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",29/10/2017,15.43,0.06,67
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",30/10/2017,13.65,0,58
